Inhibitor	ID	TGFB_0h	TGFB_4h	TGFB_8h	TGFB_12h	TGFB_16h	TGFB_20h	TGFB_24h	TGFB_28h	TGFB_32h	TGFB_36h	TGFB_40h	TGFB_44h	TGFB_48h	TGFB_Log0h	TGFB_Log4h	TGFB_Log8h	TGFB_Log12h	TGFB_Log16h	TGFB_Log20h	TGFB_Log24h	TGFB_Log28h	TGFB_Log32h	TGFB_Log36h	TGFB_Log40h	TGFB_Log44h	TGFB_Log48h	TGFB_AUC4h	TGFB_AUC8h	TGFB_AUC12h	TGFB_AUC16h	TGFB_AUC20h	TGFB_AUC24h	TGFB_AUC28h	TGFB_AUC32h	TGFB_AUC36h	TGFB_AUC40h	TGFB_AUC44h	TGFB_AUC48h	TGFB_TotalAUC	siTGFB_0h	siTGFB_4h	siTGFB_8h	siTGFB_12h	siTGFB_16h	siTGFB_20h	siTGFB_24h	siTGFB_28h	siTGFB_32h	siTGFB_36h	siTGFB_40h	siTGFB_44h	siTGFB_48h	siTGFB_Log0h	siTGFB_Log4h	siTGFB_Log8h	siTGFB_Log12h	siTGFB_Log16h	siTGFB_Log20h	siTGFB_Log24h	siTGFB_Log28h	siTGFB_Log32h	siTGFB_Log36h	siTGFB_Log40h	siTGFB_Log44h	siTGFB_Log48h	siTGFB_AUC4h	siTGFB_AUC8h	siTGFB_AUC12h	siTGFB_AUC16h	siTGFB_AUC20h	siTGFB_AUC24h	siTGFB_AUC28h	siTGFB_AUC32h	siTGFB_AUC36h	siTGFB_AUC40h	siTGFB_AUC44h	siTGFB_AUC48h	siTGFB_TotalAUC
Lenvatinib	TA03	0.825388544	0.828667082	0.847597415	0.898489633	0.897118684	0.906759013	0.925073617	0.916016183	0.855390157	0.858579778	0.850052432	1.030972986	0.968907148	-0.083341563	-0.081619913	-0.071810376	-0.04648693	-0.047150098	-0.042508119	-0.033823705	-0.038096854	-0.067835751	-0.066219345	-0.070554286	0.013247286	-0.01371784	-0.329922952	-0.306860578	-0.236594612	-0.187274056	-0.179316434	-0.152663648	-0.143841117	-0.21186521	-0.268110192	-0.273547261	-0.114614	-0.000941109	-2.405551169	0.900096644	0.853431863	0.891398597	0.931539983	1.019600342	1.065062427	1.056926634	1.041658934	1.010846636	0.977835392	0.950180395	0.912758735	0.814785374	-0.045710858	-0.068831147	-0.049928054	-0.0307985	0.008429972	0.027375064	0.024044842	0.017725543	0.00468527	-0.009734248	-0.022193935	-0.039644002	-0.088956776	-0.229084009	-0.237518401	-0.161453107	-0.044737055	0.071610073	0.102839812	0.08354077	0.044821626	-0.010097955	-0.063856365	-0.123675874	-0.257201555	-0.824812039
Quercetin	TA04	0.800804771	0.841605782	0.822303491	0.812841584	0.899751895	0.889878416	0.892440224	0.891086218	0.840954598	0.834689036	0.890374451	0.938354691	0.915503205	-0.096473348	-0.074891289	-0.084967866	-0.089994087	-0.04587723	-0.050669327	-0.049420863	-0.050080273	-0.075227451	-0.078475291	-0.05042731	-0.027632971	-0.038340131	-0.342729275	-0.319718311	-0.349923905	-0.271742633	-0.193093114	-0.200180381	-0.199002274	-0.250615448	-0.307405483	-0.257805203	-0.156120562	-0.131946203	-2.980282791	0.867715855	0.841772696	0.950855232	1.169011617	1.217491827	1.262338175	1.289110286	1.252818148	1.198342239	1.150519659	1.065254281	0.988743061	0.917964571	-0.061622467	-0.074805165	-0.021885599	0.067818827	0.085466054	0.101175716	0.110290074	0.097888036	0.078580868	0.060894044	0.027453288	-0.004916551	-0.03717408	-0.272855265	-0.19338153	0.091866455	0.306569763	0.373283541	0.42293158	0.416356219	0.352937807	0.278949823	0.176694664	0.045073474	-0.084181263	1.914245268
Phenformin hydrochloride	TA05	0.964816309	0.921925632	0.817133122	0.745366483	0.79763413	0.869676915	0.852948949	0.879700937	0.852750774	0.833017317	0.831445239	0.82563025	0.80310851	-0.015555364	-0.03530411	-0.087707185	-0.12763014	-0.098196271	-0.060642058	-0.069076962	-0.055664945	-0.069177878	-0.07934597	-0.080166349	-0.083214403	-0.095225772	-0.101718948	-0.246022591	-0.430674651	-0.451652823	-0.317676658	-0.259438039	-0.249483814	-0.249685646	-0.297047696	-0.319024639	-0.326761505	-0.356880351	-3.606067362	0.880643775	0.97139604	0.945473798	1.008035843	1.03701544	1.076965137	1.051137525	0.99712573	0.976110356	0.960006087	0.93146949	0.902584363	0.840436537	-0.05519973	-0.012603671	-0.024350502	0.003475975	0.015785223	0.032201645	0.02165954	-0.001250077	-0.01050108	-0.017726013	-0.030831366	-0.044512195	-0.075495075	-0.135606804	-0.073908347	-0.041749055	0.038522395	0.095973735	0.10772237	0.040818927	-0.023502313	-0.056454186	-0.097114758	-0.150687121	-0.24001454	-0.535999697
Crizotinib	TA06	0.933800364	0.856435418	0.814543459	0.772664951	0.811560697	0.81124592	0.850997808	0.858892293	0.846595274	0.833807103	0.893772293	0.854626089	0.83180879	-0.029745961	-0.067305381	-0.089085739	-0.112008787	-0.090678994	-0.090847474	-0.070071559	-0.066061294	-0.07232416	-0.07893441	-0.048773113	-0.068223854	-0.079976495	-0.194102684	-0.31278224	-0.402189054	-0.405375562	-0.363052936	-0.321838066	-0.272265706	-0.276770909	-0.30251714	-0.255415044	-0.233993933	-0.296400697	-3.636703969	0.774360964	0.830819255	0.97670712	0.980761465	0.981849206	1.005168238	1.034585601	1.006011447	0.99185542	0.945017254	0.866208315	0.823840003	0.755194946	-0.111056548	-0.080493447	-0.010235646	-0.008436606	-0.007955207	0.002238757	0.01476643	0.002602922	-0.003551629	-0.024560262	-0.062377652	-0.084157124	-0.121940925	-0.38309999	-0.181458186	-0.037344505	-0.032783626	-0.011432899	0.034010374	0.034738704	-0.001897413	-0.056223783	-0.173875828	-0.293069551	-0.412196098	-1.514632802
KN-93	TA07	0.815250992	0.95975211	0.934384937	0.936661934	1.041727556	0.925217929	0.909070822	0.90312451	0.836195991	0.76965534	0.74988003	0.738519388	0.720912349	-0.088708664	-0.017840924	-0.029474171	-0.028417129	0.017754152	-0.03375596	-0.041402281	-0.044252371	-0.077691919	-0.113703713	-0.125008212	-0.131638099	-0.142117535	-0.213099177	-0.094630192	-0.115782601	-0.021325954	-0.032003615	-0.150316483	-0.171309305	-0.24388858	-0.382791264	-0.47742385	-0.513292622	-0.547511268	-2.96337491	0.875281152	0.875394712	0.883496411	0.955018987	0.99006447	1.056588433	1.054792675	1.073332259	1.065312027	1.056185536	0.967498222	0.927438774	0.8558774	-0.057852423	-0.057796081	-0.05379521	-0.019987994	-0.004336525	0.023905852	0.023167105	0.030734182	0.02747683	0.023740216	-0.014349824	-0.032714751	-0.067588441	-0.231297009	-0.223182583	-0.147566409	-0.048649037	0.039138655	0.094145914	0.107802575	0.116422025	0.102434092	0.018780783	-0.094129151	-0.200606385	-0.466706532
HTH-01-015	TA08	0.793046405	0.799819246	0.769821243	0.758843243	0.751250817	0.744608599	0.747826368	0.802664826	0.744835122	0.738719143	0.768839843	0.81051295	0.879444614	-0.100701399	-0.09700815	-0.113610109	-0.119847929	-0.124215043	-0.128071953	-0.126199226	-0.095465768	-0.127939853	-0.131520647	-0.114164119	-0.091240042	-0.055791507	-0.395419098	-0.421236517	-0.466916075	-0.488125943	-0.504573991	-0.508542357	-0.443329988	-0.446811242	-0.518920999	-0.491369531	-0.410808321	-0.294063097	-5.390117157	0.854465298	0.798530532	0.740917841	0.758751672	0.917491198	0.943270549	0.982392356	0.982093816	0.999232784	1.026847801	1.020889048	1.02892727	0.980827407	-0.06830557	-0.097708474	-0.130229947	-0.119900339	-0.037398093	-0.025363725	-0.007715025	-0.007847024	-0.000333326	0.011506077	0.008978545	0.012384678	-0.008407407	-0.332028088	-0.455876843	-0.500260573	-0.314596865	-0.125523637	-0.066157501	-0.031124098	-0.016360698	0.022345504	0.040969244	0.042726445	0.007954541	-1.727932569
XL-147	TA09	0.850360323	0.83834282	0.782719844	0.77220752	0.82527861	0.845570598	0.793489707	0.786294228	0.683722274	0.674122837	0.670243004	0.671295432	0.666227006	-0.070397012	-0.076578351	-0.106393656	-0.112265973	-0.083399411	-0.072850127	-0.100458702	-0.104414912	-0.165120272	-0.17126096	-0.17376771	-0.173086308	-0.176377767	-0.293950725	-0.365944013	-0.437319258	-0.391330769	-0.312499075	-0.346617658	-0.40974723	-0.539070368	-0.672762464	-0.690057341	-0.693708037	-0.69892815	-5.851935088	0.905259012	0.9005565	0.935462707	1.105812499	1.120201287	1.220558858	1.171998447	1.139032488	1.127098488	1.073324425	1.022328654	0.971932199	0.897492692	-0.043227143	-0.045489035	-0.028973521	0.043681494	0.049296067	0.086558727	0.068927036	0.056536111	0.051961867	0.030731012	0.009590533	-0.01236403	-0.046969079	-0.177432356	-0.148925112	0.029415946	0.185955124	0.271709588	0.310971526	0.250926295	0.216995957	0.165385759	0.080643092	-0.005546993	-0.118666218	1.061432609
Danusertib	TA10	0.845743385	0.850009137	0.789851915	0.7800157	0.858113372	0.903589184	0.916970348	0.924441953	0.909079593	0.843105167	0.83100029	0.82274975	0.801873726	-0.07276139	-0.070576406	-0.102454325	-0.107896656	-0.06645533	-0.044028976	-0.037644708	-0.034120354	-0.041398091	-0.074118249	-0.080398825	-0.084732241	-0.095894016	-0.286675593	-0.346061461	-0.420701961	-0.348703972	-0.220968613	-0.163347368	-0.143530123	-0.15103689	-0.231032681	-0.309034148	-0.330262131	-0.361252515	-3.312607454	0.859037416	0.845358333	0.825490701	0.813130691	0.830794981	0.839238377	0.891845336	0.991456655	1.096404487	1.060237361	1.019120434	0.907160873	0.852074422	-0.06598792	-0.072959162	-0.083287815	-0.089839647	-0.080506136	-0.076114665	-0.049710455	-0.003726268	0.039970804	0.025403104	0.00822551	-0.04231569	-0.069522471	-0.277894163	-0.312493953	-0.346254922	-0.340691565	-0.313241601	-0.251650239	-0.106873445	0.072489073	0.130747816	0.067257227	-0.06818036	-0.223676322	-1.970462454
GSK-2636771	TA11	1.023198247	0.703620901	0.738906988	0.791982291	0.846792657	0.938047883	0.966130754	0.940336074	0.802203437	0.781862761	0.780429282	0.743619755	0.709010662	0.009959787	-0.152661268	-0.131410226	-0.101284529	-0.072222917	-0.027774992	-0.014964093	-0.026716903	-0.095715482	-0.106869471	-0.107666444	-0.128649081	-0.149347234	-0.285402962	-0.568142989	-0.465389511	-0.347014892	-0.199995818	-0.085478171	-0.083361992	-0.244864769	-0.405169906	-0.429071831	-0.472631051	-0.55599263	-4.142516521	0.908924176	0.87756783	0.883435623	1.055210434	1.107010442	1.224957369	1.090066138	1.040618911	0.987306259	0.971805079	0.939120219	0.909546346	0.848918649	-0.041472345	-0.056719306	-0.053825093	0.023339077	0.044151717	0.088120975	0.037452849	0.017291714	-0.00554811	-0.012420835	-0.027278809	-0.041175167	-0.071133926	-0.196383301	-0.221088796	-0.060972031	0.134981589	0.264545384	0.251147647	0.109489126	0.023487208	-0.035937891	-0.079399289	-0.136907951	-0.224618185	-0.17165649
DCC-2618	TA12	0.825839285	0.822426719	0.80184904	0.796997858	0.839468323	0.834875754	0.827726192	0.83988997	0.787009882	0.782053024	0.789310989	0.813328948	0.828293707	-0.083104462	-0.084902789	-0.095907386	-0.098542846	-0.075995687	-0.078378151	-0.082113302	-0.075777605	-0.104019814	-0.1067638	-0.102751851	-0.08973377	-0.081815638	-0.336014501	-0.36162035	-0.388900464	-0.349077066	-0.308747677	-0.320982907	-0.315781814	-0.359594839	-0.42156723	-0.419031302	-0.384971242	-0.343098816	-4.309388208	0.921854531	0.898365161	0.937218405	0.956476858	1.078224249	1.152580573	1.11124282	1.064020263	1.029523286	1.003688291	0.9532598	0.935946048	0.874494962	-0.035337605	-0.046547099	-0.028159191	-0.019325533	0.032709095	0.061671295	0.045808968	0.026949899	0.012636174	0.001598858	-0.020788721	-0.028749185	-0.058242688	-0.163769408	-0.14941258	-0.094969449	0.026767123	0.18876078	0.214960526	0.145517733	0.079172145	0.028470064	-0.038379727	-0.099075813	-0.173983747	-0.035942352
KX2-391	TB01	1.008512544	0.95733408	1.02059771	1.057866124	1.05309867	1.038966235	1.051639862	1.070071156	1.034868112	1.02634449	1.041987151	1.154849601	1.091695258	0.003681304	-0.01893648	0.00885459	0.02443071	0.022469064	0.016601434	0.02186704	0.029412658	0.014885005	0.011293155	0.017862364	0.062525429	0.038101424	-0.030510352	-0.020163782	0.066570599	0.093799548	0.078140996	0.076936947	0.102559394	0.088595325	0.05235632	0.058311037	0.160775584	0.201253705	0.928625323	0.822593687	0.849862464	0.84125018	0.851598638	0.876721414	0.881461146	0.879272833	0.859731359	0.866225112	0.875532105	0.865153826	0.863170298	0.820283554	-0.084814628	-0.070651352	-0.07507483	-0.069765042	-0.057138386	-0.054796826	-0.055876345	-0.065637232	-0.06236923	-0.057727924	-0.062906667	-0.063903512	-0.086035996	-0.310931959	-0.291452363	-0.289679743	-0.253806855	-0.223870424	-0.221346343	-0.243027154	-0.256012924	-0.240194308	-0.241269183	-0.253620359	-0.299879016	-3.125090632
Temsirolimus	TB02	0.893662638	0.926342706	0.890946196	0.893591188	0.882671368	0.893496375	0.913091548	0.974697361	0.896129914	0.813664077	0.80455449	0.799451947	0.755498807	-0.048826399	-0.033228314	-0.050148522	-0.048861123	-0.054200961	-0.048907205	-0.039485677	-0.01113021	-0.047629025	-0.089554858	-0.094444537	-0.097207635	-0.121766217	-0.164109425	-0.166753672	-0.198019289	-0.206124167	-0.206216332	-0.176785765	-0.101231774	-0.11751847	-0.274367765	-0.367998789	-0.383304345	-0.437947705	-2.800377498	0.906918907	0.875696086	0.841804137	0.832238468	0.828856028	0.832332361	0.834751577	0.825585388	0.829431316	0.832697962	0.84631732	0.805032579	0.750156178	-0.042431544	-0.057646591	-0.074788944	-0.079752214	-0.0815209	-0.07970322	-0.078442752	-0.083238002	-0.081219571	-0.079512498	-0.072466771	-0.094186544	-0.12484831	-0.200156271	-0.264871071	-0.309082316	-0.322546227	-0.322448239	-0.316291943	-0.323361508	-0.328915147	-0.321464139	-0.303958539	-0.33330663	-0.438069707	-3.784471738
SGX-523	TB03	0.899613736	0.935975115	0.900124582	0.890052993	0.920950841	0.915629394	0.922338779	1.204924228	1.072931668	0.859774406	0.860152046	0.827659775	0.795916254	-0.045943922	-0.028735698	-0.045697378	-0.050584135	-0.035763551	-0.038280274	-0.035109531	0.080959737	0.030572064	-0.065615487	-0.065424773	-0.082148151	-0.099132626	-0.14935924	-0.148866151	-0.192563026	-0.172695372	-0.14808765	-0.14677961	0.091700411	0.223063602	-0.070086847	-0.262080521	-0.295145849	-0.362561555	-1.633461809	0.843570505	1.092010079	1.04346229	1.041993613	1.038305956	1.048702552	1.088902334	1.010001736	0.995783256	0.969965987	0.940493784	0.907651917	0.854470633	-0.073878614	0.038226647	0.018476759	0.017865057	0.016325345	0.020652325	0.036988929	0.00432212	-0.001835181	-0.013243495	-0.02664407	-0.042080671	-0.068302859	-0.071303933	0.113406811	0.072683631	0.068380804	0.07395534	0.115282507	0.082622098	0.004973879	-0.03015735	-0.07977513	-0.137449482	-0.220767059	-0.008147885
CNX-774	TB04	0.930093719	0.945333802	0.912041333	0.914728542	0.933723846	0.970740586	1.022091064	0.983028845	0.885321842	0.858080055	0.855321028	0.84647691	0.827663945	-0.031473288	-0.024414813	-0.039985479	-0.03870777	-0.02978155	-0.012896812	0.009489591	-0.007433738	-0.052898821	-0.066472193	-0.067870851	-0.072384884	-0.082145963	-0.111776203	-0.128800584	-0.157386498	-0.136978639	-0.085356724	-0.006814442	0.004111706	-0.120665119	-0.238742027	-0.268686087	-0.280511469	-0.309061695	-1.840667781	0.813912026	0.893813949	0.936739528	0.926051854	0.941411387	0.93866426	0.972760663	0.951306297	0.946416008	0.953281301	0.955585434	0.924656586	0.866764292	-0.089422535	-0.048752872	-0.028381153	-0.033364694	-0.026220553	-0.027489718	-0.011994	-0.021679629	-0.023917923	-0.020778926	-0.019730479	-0.034019533	-0.062098989	-0.276350813	-0.15426805	-0.123491695	-0.119170495	-0.107420541	-0.078967435	-0.067347257	-0.091195102	-0.089393697	-0.081018809	-0.107500023	-0.192237042	-1.48836096
Pexidartinib	TB05	0.893122273	0.906387333	0.867483322	0.876361793	0.888401969	0.89657241	0.914001484	0.925018053	0.843630436	0.826708458	0.82970348	0.815547196	0.795389478	-0.04908908	-0.042686172	-0.061738866	-0.057316565	-0.051390488	-0.04741463	-0.039053099	-0.033849791	-0.07384776	-0.082647619	-0.081077088	-0.088550901	-0.099420158	-0.183550505	-0.208850077	-0.238110862	-0.217414105	-0.197610235	-0.172935458	-0.145805781	-0.215395104	-0.312990759	-0.327449415	-0.339255979	-0.375942119	-2.935310397	0.756267444	0.758254713	0.81749253	0.837958144	0.904328095	0.920911514	0.915463076	0.906865291	0.926865869	0.971329551	0.898541739	0.848884112	0.772301758	-0.121324595	-0.120184882	-0.087516207	-0.076777674	-0.043673977	-0.035782097	-0.038359168	-0.04245722	-0.03298311	-0.012633398	-0.046461744	-0.071151595	-0.112212977	-0.483018953	-0.415402177	-0.328587762	-0.240903301	-0.158912147	-0.14828253	-0.161632775	-0.15088066	-0.091233017	-0.118190285	-0.235226678	-0.366729143	-2.898999428
KN-62	TB06	0.965372207	1.01651821	0.927430672	0.90219551	0.892693244	0.884226757	0.871640868	0.827940156	0.768130745	0.753582856	0.747329181	0.73221146	0.723685117	-0.015305209	0.007115163	-0.032718545	-0.044699339	-0.049297752	-0.053436347	-0.059662415	-0.082001053	-0.114564852	-0.12286899	-0.126488059	-0.135363478	-0.140450359	-0.016380091	-0.051206764	-0.154835768	-0.187994181	-0.205468199	-0.226197526	-0.283326937	-0.393131809	-0.474867684	-0.4987141	-0.523703075	-0.551627674	-3.567453808	0.790662144	0.768180055	0.86132185	0.896573336	0.996746913	1.042601218	1.090819718	1.079522967	1.078657969	1.083220182	1.065485756	1.049914982	1.000056657	-0.102009054	-0.114536973	-0.064834535	-0.047414181	-0.001415101	0.018118228	0.03775298	0.033231886	0.032883756	0.034716743	0.027547648	0.021154133	2.46E-05	-0.433092055	-0.358743017	-0.224497433	-0.097658564	0.033406254	0.111742415	0.141969732	0.132231286	0.135200999	0.124528782	0.097403562	0.042357476	-0.295150561
TCS PIM-1 1	TB07	0.869269813	0.863968701	0.854683513	0.841600902	0.840709718	0.848918777	0.849728456	0.858205296	0.805840382	0.810809658	0.845730039	0.846957393	0.840396585	-0.060845402	-0.06350199	-0.068194674	-0.074893808	-0.075353932	-0.07113386	-0.070719838	-0.06640881	-0.093750973	-0.091081087	-0.072768244	-0.072138437	-0.075515721	-0.248694784	-0.263393328	-0.286176963	-0.30049548	-0.292975585	-0.283707396	-0.274257295	-0.320319566	-0.36966412	-0.327698661	-0.289813361	-0.295308316	-3.552504855	0.775645967	0.862303302	1.007021821	1.019943976	1.087639313	1.112515016	1.111913344	1.053024314	1.043464342	1.012036956	0.976979728	0.926710302	0.861207199	-0.110336461	-0.064339951	0.003038881	0.008576317	0.036484897	0.046305882	0.046070942	0.022438399	0.018477613	0.005196372	-0.010114448	-0.033056009	-0.064892348	-0.349352824	-0.122602139	0.023230397	0.090122428	0.165581557	0.184753647	0.137018682	0.081832023	0.047347969	-0.009836152	-0.086340913	-0.195896715	-0.03414204
AZD-9291	TB08	0.93091893	0.908247382	0.863486907	0.900493353	1.322005959	1.318159355	1.319227146	1.340240994	1.335707572	1.317641187	1.36693886	1.305644228	0.964051576	-0.031088138	-0.041795845	-0.063744243	-0.045519489	0.121233413	0.119967916	0.120319579	0.127182898	0.125711388	0.119797162	0.13574909	0.115824853	-0.015899731	-0.145767967	-0.211080177	-0.218527464	0.151427848	0.482402658	0.480574991	0.495004954	0.505788571	0.491017099	0.511092503	0.503147886	0.199850244	3.244931147	0.83205134	0.818725417	0.81298063	0.943828631	1.059889133	1.12771652	1.118062711	1.08626656	1.056189032	1.025544899	0.990580516	0.937615724	0.878240487	-0.079849876	-0.086861727	-0.089919802	-0.025106852	0.025260439	0.052199942	0.048466163	0.03593641	0.023741653	0.010954679	-0.004110219	-0.027975118	-0.056386546	-0.333423205	-0.353563057	-0.230053308	0.000307174	0.154920764	0.201332212	0.168805147	0.119356127	0.069392664	0.013688921	-0.064170673	-0.168723328	-0.422130563
Decernotinib (VX-509)	TB09	0.937759971	0.967301485	0.940191781	0.929477732	0.952797138	0.972087747	1.00708304	1.006028645	0.977847106	0.944381888	0.964304195	1.03586646	0.861351834	-0.027908309	-0.014438145	-0.02678355	-0.03176101	-0.020999556	-0.012294531	0.003065282	0.002610347	-0.009729045	-0.024852351	-0.015785944	0.015303771	-0.064819417	-0.08469291	-0.08244339	-0.11708912	-0.105521133	-0.066588174	-0.018458498	0.011351258	-0.014237397	-0.069162792	-0.081276589	-0.000964345	-0.099031292	-0.728114382	1.042212869	1.030036023	1.037604859	1.155815993	1.150085723	1.184533464	1.095316493	1.016048382	1.015381738	0.955362812	0.91649693	0.859286139	0.806901316	0.017956431	0.012852413	0.016031997	0.062888699	0.060730212	0.073547334	0.039539627	0.006914389	0.006629348	-0.019831668	-0.037868985	-0.065862194	-0.093179576	0.06161769	0.05776882	0.157841393	0.247237823	0.268555093	0.226173923	0.092908032	0.027087474	-0.026404639	-0.115401307	-0.207462358	-0.31808354	0.471838404
Fasudil (HA-1077) hydrochloride	TB10	1.045686223	1.064759693	1.028595839	1.055763054	1.335672752	1.306670075	1.54769268	1.577531989	1.49564103	1.47076864	1.447333244	1.437285454	1.333050979	0.019401386	0.027251602	0.012244763	0.02356646	0.125700066	0.116165945	0.189684729	0.197978175	0.174827371	0.167544361	0.160568538	0.15754303	0.124846758	0.093305977	0.078992731	0.071622446	0.298533053	0.483732023	0.611701347	0.775325806	0.74561109	0.684743464	0.656225798	0.636223136	0.564779577	5.700796448	1.038085061	1.126633465	1.138048306	1.146175938	1.176389021	1.191018534	1.202858946	1.135167672	1.105034256	1.057588328	1.013669703	0.96697926	0.885206718	0.016232941	0.051782647	0.056160697	0.059251287	0.070550963	0.07591852	0.080214703	0.055060015	0.043375741	0.024316649	0.005896466	-0.014582841	-0.052955299	0.136031177	0.215886688	0.230823967	0.259604499	0.292938965	0.312266445	0.270549434	0.196871512	0.135384781	0.060426231	-0.017372749	-0.135076279	1.95833467
AP26113	TB11	0.934150224	0.93406679	0.924006644	0.925913406	0.954157574	0.961004611	0.95468488	0.954673884	0.90529068	0.906234948	0.9132235	0.976351532	0.938722624	-0.029583278	-0.029622069	-0.034324906	-0.033429628	-0.020379898	-0.017274529	-0.020139956	-0.020144958	-0.043211951	-0.042759194	-0.039422921	-0.010393788	-0.027462715	-0.118410693	-0.127893949	-0.135509068	-0.107619052	-0.075308853	-0.074828968	-0.080569827	-0.126713817	-0.171942289	-0.16436423	-0.099633419	-0.075713006	-1.35850717	0.80740133	0.791521666	0.775938149	0.763179769	0.81732528	0.872466502	0.862582737	0.828566356	0.869285088	0.880372458	0.868827936	0.86034372	0.823264655	-0.09291054	-0.101537193	-0.110172896	-0.117373151	-0.087605068	-0.059251239	-0.064199238	-0.081672705	-0.06083777	-0.055333553	-0.061066223	-0.065328007	-0.08446053	-0.388895465	-0.423420177	-0.455092093	-0.409956438	-0.293712613	-0.246900953	-0.291743886	-0.285020951	-0.232342646	-0.232799552	-0.252788461	-0.299577073	-3.812250307
LJH685	TB12	0.8685434	0.894271334	0.83395957	0.876395697	0.906680978	0.967814299	1.004189779	0.985968086	0.921966821	0.907949351	0.890990591	0.88238148	0.860070554	-0.061208476	-0.04853069	-0.078855003	-0.057299763	-0.042545496	-0.014207966	0.001815797	-0.006137142	-0.035284708	-0.041938377	-0.050126882	-0.054343616	-0.065465921	-0.219478332	-0.254771387	-0.272309533	-0.199690518	-0.113506923	-0.024784338	-0.008642691	-0.0828437	-0.15444617	-0.184130519	-0.208940996	-0.239619073	-1.963164181	0.888266658	0.910053615	0.957031254	0.983567263	0.9971529	1.01546804	1.049277985	0.978578218	0.953908454	0.929993533	0.900261216	0.848783526	0.782632411	-0.051456639	-0.040933021	-0.019073879	-0.007195935	-0.001238243	0.006666259	0.020890561	-0.009404455	-0.020493302	-0.031520071	-0.045631459	-0.071203058	-0.106442171	-0.18477932	-0.1200138	-0.052539628	-0.016868356	0.010856032	0.055113641	0.022972211	-0.059795515	-0.104026747	-0.154303061	-0.233669035	-0.355290458	-1.192344037
T5601640	TC01	0.97217401	1.035137564	0.989041453	0.975070696	1.044546782	1.081240072	1.10577991	1.040535837	0.958777432	0.941771651	0.934545596	0.914999236	0.865698794	-0.012255993	0.014998069	-0.004785506	-0.010963895	0.018927895	0.033922133	0.043668695	0.017257042	-0.018282197	-0.026054387	-0.029399505	-0.038579269	-0.062633187	0.005484151	0.020425126	-0.031498802	0.015928	0.105700056	0.155181656	0.121851475	-0.00205031	-0.088673168	-0.110907783	-0.135957547	-0.202424912	-0.146942055	0.83459204	0.832976818	0.925243296	1.034206237	1.12117383	1.105738718	1.081663633	1.041347618	1.01855928	1.003732999	0.964068559	0.932881339	0.853853059	-0.078525762	-0.079367085	-0.033744053	0.014607153	0.049672952	0.043652517	0.034092228	0.017595728	0.00798631	0.001618202	-0.01589208	-0.030173594	-0.068616861	-0.315785693	-0.226222276	-0.038273801	0.128560209	0.186650938	0.155489491	0.103375913	0.051164076	0.019209025	-0.028547756	-0.09213135	-0.197580911	-0.254092136
Pelitinib	TC02	1.118364161	1.141508257	1.075605117	1.00550378	0.963288789	0.925573759	0.905696509	0.931078839	0.86609036	0.899109558	0.902198108	0.898564346	0.887107711	0.048583241	0.057479057	0.03165286	0.002383708	-0.016243494	-0.033588967	-0.043017306	-0.031013544	-0.062436795	-0.046187386	-0.044698088	-0.046450818	-0.052023646	0.212124597	0.178263834	0.068073134	-0.027719573	-0.099664921	-0.153212546	-0.1480617	-0.186900678	-0.217248362	-0.181770947	-0.182297811	-0.196948927	-0.935363899	0.855313558	0.831676345	0.802722316	0.801609027	0.795838163	0.797151871	0.79123006	0.776285699	0.770571808	0.766921362	0.748759382	0.729683694	0.692079146	-0.067874644	-0.080045651	-0.095434663	-0.096037401	-0.099175239	-0.09845893	-0.101697222	-0.109978414	-0.113186884	-0.115249165	-0.125657723	-0.136865359	-0.159844237	-0.295840589	-0.350960628	-0.382944128	-0.390425279	-0.395268338	-0.400312304	-0.423351272	-0.446330597	-0.456872098	-0.481813776	-0.525046163	-0.593419191	-5.142584364
BI 2536	TC03	0.967462578	0.969217892	0.936955264	0.915883209	0.914369985	0.963904846	0.962008049	0.924984833	0.818858781	0.798844393	0.818000993	0.799819973	0.745624137	-0.014365825	-0.013578577	-0.028281145	-0.038159903	-0.038878038	-0.015965836	-0.016821294	-0.033865388	-0.086790989	-0.097537809	-0.087246169	-0.097007755	-0.127480042	-0.055888804	-0.083719444	-0.132882095	-0.154075883	-0.10968775	-0.065574261	-0.101373365	-0.241312756	-0.368657596	-0.369567956	-0.368507848	-0.448975593	-2.50022335	0.906349415	0.894528142	0.901970784	1.026898102	1.114765309	1.141776691	1.145632616	1.125036965	1.086032524	1.048666579	0.99540902	0.942674772	0.877491074	-0.042704341	-0.048405992	-0.04480753	0.011527351	0.047183445	0.057581173	0.059045369	0.051166792	0.035842831	0.020637427	-0.001998428	-0.025638115	-0.056757293	-0.182220666	-0.186427043	-0.066560357	0.117421593	0.209529236	0.233253084	0.220424323	0.174019247	0.112960518	0.037277998	-0.055273087	-0.164790816	0.44961403
